[BrakeControllerBridge @ factory.py:85][DEBUG] 2018-10-30 22:35:04,979: Logging to: logs/2018_Oct_30/BrakeControllerBridge/22_35_04.log
[BrakeControllerBridge @ brake_controller_bridge.py:30][DEBUG] 2018-10-30 22:35:10,509: start_packet: 'Packet(data=[30.0, 0.0, 0.0], timestamp=0, global_sequence_num=-1, receive_time=1540953310.509394, sequence_num=0, name=first_packet)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:15,293: packet: 'Packet(data=[1.35, 12.02, 13.12, 161.6, 12.02, 0, 0.0], timestamp=9.714788, global_sequence_num=46, receive_time=1540953315.292623, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:15,558: packet: 'Packet(data=[1.33, 12.02, 13.92, 164.0, 12.02, 0, 0.0], timestamp=9.816172, global_sequence_num=47, receive_time=1540953315.3937984, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:15,558: packet: 'Packet(data=[1.35, 12.02, 13.72, 162.4, 12.03, 0, 0.0], timestamp=9.916516, global_sequence_num=48, receive_time=1540953315.4943516, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:15,595: packet: 'Packet(data=[1.35, 12.02, 13.72, 160.0, 12.03, 0, 0.0], timestamp=10.017884, global_sequence_num=49, receive_time=1540953315.5954862, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:15,697: packet: 'Packet(data=[1.33, 12.02, 13.8, 168.0, 12.02, 0, 0.0], timestamp=10.119268, global_sequence_num=50, receive_time=1540953315.6969593, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:15,945: packet: 'Packet(data=[1.33, 12.02, 13.52, 166.4, 12.03, 0, 0.0], timestamp=10.220632, global_sequence_num=51, receive_time=1540953315.7978477, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:15,946: packet: 'Packet(data=[1.35, 12.02, 13.4, 156.0, 12.02, 0, 0.0], timestamp=10.32202, global_sequence_num=52, receive_time=1540953315.8991835, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:16,000: packet: 'Packet(data=[1.35, 12.02, 13.32, 162.4, 12.02, 0, 0.0], timestamp=10.422364, global_sequence_num=53, receive_time=1540953315.9999905, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:16,102: packet: 'Packet(data=[1.33, 12.02, 13.32, 156.0, 12.03, 0, 0.0], timestamp=10.523748, global_sequence_num=54, receive_time=1540953316.1013684, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:16,356: packet: 'Packet(data=[1.34, 12.02, 13.2, 162.4, 12.03, 0, 0.0], timestamp=10.625112, global_sequence_num=55, receive_time=1540953316.201852, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:16,357: packet: 'Packet(data=[1.33, 12.02, 13.0, 160.0, 12.03, 0, 0.0], timestamp=10.72548, global_sequence_num=56, receive_time=1540953316.3027256, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:16,404: packet: 'Packet(data=[1.32, 12.02, 13.52, 156.0, 12.03, 0, 0.0], timestamp=10.826844, global_sequence_num=57, receive_time=1540953316.404194, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:16,505: packet: 'Packet(data=[1.34, 12.02, 13.72, 161.6, 12.03, 0, 0.0], timestamp=10.928228, global_sequence_num=58, receive_time=1540953316.5051103, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:16,762: packet: 'Packet(data=[1.32, 12.02, 13.72, 164.0, 12.03, 0, 0.0], timestamp=11.02858, global_sequence_num=59, receive_time=1540953316.604774, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:16,763: packet: 'Packet(data=[1.35, 12.02, 13.52, 157.6, 12.03, 0, 0.0], timestamp=11.129968, global_sequence_num=60, receive_time=1540953316.7064178, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:16,807: packet: 'Packet(data=[1.31, 12.02, 13.12, 164.0, 12.03, 0, 0.0], timestamp=11.230308, global_sequence_num=61, receive_time=1540953316.806652, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:16,908: packet: 'Packet(data=[1.31, 12.02, 13.6, 168.0, 12.03, 0, 0.0], timestamp=11.331676, global_sequence_num=62, receive_time=1540953316.9077895, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:17,158: packet: 'Packet(data=[1.35, 12.03, 13.6, 164.0, 12.03, 0, 0.0], timestamp=11.43306, global_sequence_num=63, receive_time=1540953317.0094876, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:17,159: packet: 'Packet(data=[5.16, 12.02, 53.2, 651.2, 12.03, 0, 53.5], timestamp=11.534344, global_sequence_num=64, receive_time=1540953317.1107926, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:17,211: packet: 'Packet(data=[5.27, 12.02, 52.6, 636.8, 12.02, 17, 53.5], timestamp=11.634788, global_sequence_num=65, receive_time=1540953317.2110662, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:17,314: packet: 'Packet(data=[5.19, 12.02, 52.0, 628.0, 12.02, 15, 53.5], timestamp=11.737692, global_sequence_num=66, receive_time=1540953317.3139336, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:17,555: packet: 'Packet(data=[5.37, 12.02, 53.0, 630.4, 12.02, 27, 53.5], timestamp=11.837936, global_sequence_num=67, receive_time=1540953317.4137726, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:17,556: packet: 'Packet(data=[5.54, 12.02, 53.32, 632.0, 12.02, 39, 53.5], timestamp=11.940776, global_sequence_num=68, receive_time=1540953317.516514, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:17,618: packet: 'Packet(data=[5.32, 12.01, 52.92, 636.0, 12.02, 21, 53.5], timestamp=12.041024, global_sequence_num=69, receive_time=1540953317.617632, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:17,717: packet: 'Packet(data=[5.49, 12.02, 53.12, 628.0, 12.02, 39, 53.5], timestamp=12.141664, global_sequence_num=70, receive_time=1540953317.7172246, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:17,967: packet: 'Packet(data=[5.54, 12.01, 53.12, 628.8, 12.02, 41, 53.5], timestamp=12.24462, global_sequence_num=71, receive_time=1540953317.8207555, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:17,968: packet: 'Packet(data=[5.21, 12.02, 52.12, 636.0, 12.02, 11, 53.5], timestamp=12.344804, global_sequence_num=72, receive_time=1540953317.9203124, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:18,024: packet: 'Packet(data=[5.29, 12.02, 53.12, 640.8, 12.02, 17, 53.5], timestamp=12.44774, global_sequence_num=73, receive_time=1540953318.0235717, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:18,123: packet: 'Packet(data=[5.19, 12.02, 52.52, 634.4, 12.03, 15, 53.5], timestamp=12.548204, global_sequence_num=74, receive_time=1540953318.1232786, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:18,372: packet: 'Packet(data=[5.36, 12.02, 53.6, 636.8, 12.02, 21, 53.5], timestamp=12.648548, global_sequence_num=75, receive_time=1540953318.2236915, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:18,372: packet: 'Packet(data=[5.14, 12.02, 52.52, 636.0, 12.02, 11, 53.5], timestamp=12.751356, global_sequence_num=76, receive_time=1540953318.3267598, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:18,427: packet: 'Packet(data=[5.14, 12.02, 52.4, 626.4, 12.03, 15, 53.5], timestamp=12.851588, global_sequence_num=77, receive_time=1540953318.4266143, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:18,530: packet: 'Packet(data=[5.25, 12.02, 52.52, 638.4, 12.02, 21, 53.5], timestamp=12.954484, global_sequence_num=78, receive_time=1540953318.5295475, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:18,788: packet: 'Packet(data=[5.61, 12.02, 54.4, 636.0, 12.02, 45, 53.5], timestamp=13.055076, global_sequence_num=79, receive_time=1540953318.6303518, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:18,789: packet: 'Packet(data=[5.42, 12.02, 53.12, 630.4, 12.02, 33, 53.5], timestamp=13.155436, global_sequence_num=80, receive_time=1540953318.730011, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:18,833: packet: 'Packet(data=[5.28, 12.02, 52.0, 628.8, 12.02, 21, 53.5], timestamp=13.258312, global_sequence_num=81, receive_time=1540953318.8335567, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:18,936: packet: 'Packet(data=[5.41, 12.02, 53.52, 643.2, 12.02, 23, 53.5], timestamp=13.361216, global_sequence_num=82, receive_time=1540953318.9359791, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:19,207: packet: 'Packet(data=[5.07, 12.02, 51.6, 632.0, 12.02, 11, 53.5], timestamp=13.461428, global_sequence_num=83, receive_time=1540953319.0365925, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:19,209: packet: 'Packet(data=[6.82, 12.01, 71.0, 870.4, 12.03, 0, 72.38], timestamp=13.562756, global_sequence_num=84, receive_time=1540953319.1369143, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:19,237: packet: 'Packet(data=[7.45, 12.02, 72.6, 857.6, 12.02, 53, 72.38], timestamp=13.66294, global_sequence_num=85, receive_time=1540953319.2370412, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:19,340: packet: 'Packet(data=[7.33, 12.01, 71.92, 852.0, 12.02, 47, 72.38], timestamp=13.765836, global_sequence_num=86, receive_time=1540953319.3399267, sequence_num=0, name=brake)'
[BrakeControllerBridge @ node.py:82][DEBUG] 2018-10-30 22:35:19,581: [log buffer start]
[DEBUG, 1540953310.6510787]: Packet(data=[1.25, 12.02, 12.72, 152.0, 0.0, 0, 0.0], timestamp=5.068564, global_sequence_num=0, receive_time=1540953310.6510787, sequence_num=0, name=brake)
[DEBUG, 1540953310.7509003]: Packet(data=[1.25, 12.02, 12.6, 152.0, 12.03, 0, 0.0], timestamp=5.169252, global_sequence_num=1, receive_time=1540953310.7509003, sequence_num=0, name=brake)
[DEBUG, 1540953310.8513844]: Packet(data=[1.25, 12.03, 12.6, 152.0, 12.03, 0, 0.0], timestamp=5.269604, global_sequence_num=2, receive_time=1540953310.8513844, sequence_num=0, name=brake)
[DEBUG, 1540953310.9527695]: Packet(data=[1.23, 12.02, 12.32, 153.6, 12.03, 0, 0.0], timestamp=5.370972, global_sequence_num=3, receive_time=1540953310.9527695, sequence_num=0, name=brake)
[DEBUG, 1540953311.0534067]: Packet(data=[1.24, 12.02, 12.6, 150.4, 12.03, 0, 0.0], timestamp=5.471332, global_sequence_num=4, receive_time=1540953311.0534067, sequence_num=0, name=brake)
[DEBUG, 1540953311.154848]: Packet(data=[1.28, 12.02, 12.52, 149.6, 12.03, 0, 0.0], timestamp=5.5727, global_sequence_num=5, receive_time=1540953311.154848, sequence_num=0, name=brake)
[DEBUG, 1540953311.2553186]: Packet(data=[1.25, 12.02, 12.4, 153.6, 12.03, 0, 0.0], timestamp=5.674084, global_sequence_num=6, receive_time=1540953311.2553186, sequence_num=0, name=brake)
