[BrakeControllerBridge @ factory.py:85][DEBUG] 2018-11-06 23:45:11,589: Logging to: logs/2018_Nov_06/BrakeControllerBridge/23_45_11.log
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:22,444: packet: 'Packet(global_sequence_num=50, data=[0.36, 12.02, 3.52, 43.2, 12.02, 0, 0.0], name=brake, receive_time=1541565922.2995422, timestamp=10.111076, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:22,445: packet: 'Packet(global_sequence_num=51, data=[0.37, 12.03, 3.6, 41.6, 12.02, 0, 0.0], name=brake, receive_time=1541565922.3995397, timestamp=10.21142, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:22,501: packet: 'Packet(global_sequence_num=52, data=[0.39, 12.03, 3.8, 44.8, 12.03, 0, 0.0], name=brake, receive_time=1541565922.501234, timestamp=10.312804, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:22,602: packet: 'Packet(global_sequence_num=53, data=[0.37, 12.02, 3.92, 43.2, 12.03, 0, 0.0], name=brake, receive_time=1541565922.601547, timestamp=10.414172, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:22,822: packet: 'Packet(global_sequence_num=54, data=[0.35, 12.02, 3.72, 41.6, 12.02, 0, 0.0], name=brake, receive_time=1541565922.702684, timestamp=10.514532, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:22,822: packet: 'Packet(global_sequence_num=55, data=[0.36, 12.03, 3.4, 45.6, 12.02, 0, 0.0], name=brake, receive_time=1541565922.803256, timestamp=10.6159, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:22,906: packet: 'Packet(global_sequence_num=56, data=[0.34, 12.02, 3.32, 43.2, 12.03, 0, 0.0], name=brake, receive_time=1541565922.9057696, timestamp=10.717284, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:23,007: packet: 'Packet(global_sequence_num=57, data=[0.39, 12.03, 3.52, 45.6, 12.02, 0, 0.0], name=brake, receive_time=1541565923.006436, timestamp=10.818656, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:23,238: packet: 'Packet(global_sequence_num=58, data=[0.36, 12.02, 3.92, 45.6, 12.03, 0, 0.0], name=brake, receive_time=1541565923.1069698, timestamp=10.920036, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:23,239: packet: 'Packet(global_sequence_num=59, data=[0.34, 12.02, 3.72, 45.6, 12.02, 0, 0.0], name=brake, receive_time=1541565923.2072165, timestamp=11.02038, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:23,309: packet: 'Packet(global_sequence_num=60, data=[0.37, 12.03, 3.6, 44.8, 12.02, 0, 0.0], name=brake, receive_time=1541565923.3088794, timestamp=11.121764, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:23,411: packet: 'Packet(global_sequence_num=61, data=[0.36, 12.03, 3.8, 43.2, 12.03, 0, 0.0], name=brake, receive_time=1541565923.4108949, timestamp=11.223128, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:23,642: packet: 'Packet(global_sequence_num=62, data=[0.38, 12.02, 3.8, 41.6, 12.03, 0, 0.0], name=brake, receive_time=1541565923.5107548, timestamp=11.323492, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:23,643: packet: 'Packet(global_sequence_num=63, data=[0.35, 12.02, 3.6, 43.2, 12.02, 0, 0.0], name=brake, receive_time=1541565923.611827, timestamp=11.424864, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:23,713: packet: 'Packet(global_sequence_num=64, data=[0.36, 12.02, 3.72, 47.2, 12.02, 0, 0.0], name=brake, receive_time=1541565923.7127872, timestamp=11.526244, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:23,814: packet: 'Packet(global_sequence_num=65, data=[0.38, 12.02, 3.52, 43.2, 12.02, 0, 0.0], name=brake, receive_time=1541565923.8139498, timestamp=11.626588, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:24,038: packet: 'Packet(global_sequence_num=66, data=[0.36, 12.02, 3.8, 44.8, 12.02, 0, 0.0], name=brake, receive_time=1541565923.9147682, timestamp=11.727972, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:24,038: packet: 'Packet(global_sequence_num=67, data=[0.37, 12.02, 3.8, 44.8, 12.02, 0, 0.0], name=brake, receive_time=1541565924.0152767, timestamp=11.828324, sequence_num=0)'
